, รายจ่ายของครัวเรือน จากข้อมูลความจำเป็นพื้นฐาน (จปฐ.). ปี 2558 ,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 ที่ , จังหวัด , ครัวเรือนทั้งหมด ที่สำรวจ , จำนวนคนทั้งหมด ที่สำรวจ , รวมรายจ่าย ต้นทุนการผลิต , รายจ่ายเฉลี่ย ด้านต้นทุนการผลิตของครัวเรือน , รวมรายจ่าย อุปโภค/บริโภค ที่จำเป็น , รายจ่ายเฉลี่ย ด้านอุปโภค/บริโภค ที่จำเป็นของครัวเรือน , รวมรายจ่าย อุปโภค/บริโภค ที่ไม่จำเป็น , รายจ่ายเฉลี่ย อุปโภค/บริโภค ที่ไม่จำเป็นของครัวเรือน , รวมรายจ่าย ชำระหนี้สิน , รายจ่ายเฉลี่ย การชำระหนี้สินของครัวเรือน , รวมรายจ่าย ทั้งหมด/ครัวเรือน , รวมรายจ่าย ทั้งหมดของคนในครัวเรือน , รายจ่ายเฉลี่ย/คน/ปี 
1, กระบี่ ,"90,523","308,687","3,639,293,025","40,203","8,744,340,225","96,598","1,969,081,855","21,752","1,465,835,629","16,193","15,818,550,264","174,746","51,245"
2, กาญจนบุรี ,"156,721","512,236","5,949,727,370","37,964","13,543,169,738","86,416","3,214,007,779","20,508","2,229,332,491","14,225","24,935,947,610","159,110","48,681"
3, กาฬสินธุ์ ,"205,284","744,792","7,611,830,257","37,080","12,188,710,734","59,375","4,294,599,778","20,920","5,714,173,729","27,835","29,809,269,141","145,210","40,024"
4, กำแพงเพชร ,"151,561","471,176","8,236,771,756","54,346","9,306,135,577","61,402","3,368,126,299","22,223","4,415,412,037","29,133","25,326,445,675","167,104","53,752"
5, ขอนแก่น ,"338,432","1,220,708","11,208,808,298","33,120","22,674,987,959","67,000","6,954,803,940","20,550","8,826,078,782","26,079","49,664,674,952","146,749","40,685"
6, จันทบุรี ,"99,639","305,108","4,955,443,619","49,734","8,002,053,504","80,310","1,885,887,041","18,927","1,844,788,205","18,515","16,688,127,371","167,486","54,696"
7, ฉะเชิงเทรา ,"145,392","485,159","5,726,910,910","39,389","14,070,888,746","96,779","3,022,411,114","20,788","1,349,648,540","9,283","24,169,689,306","166,238","49,818"
8, ชลบุรี ,"321,403","653,180","5,048,129,515","15,707","34,897,066,824","108,577","5,489,372,540","17,079","1,693,980,372","5,271","47,128,037,279","146,632","72,152"
9, ชัยนาท ,"88,747","254,196","4,473,390,014","50,406","5,661,433,840","63,793","1,526,118,174","17,196","1,417,869,669","15,977","13,078,811,686","147,372","51,452"
